Agency,Site,Site AQS,Param,Param AQS,POC,Method,Duration,Date (LST),Unit,Concentration
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,1/1/2018,UG/M3,5.5
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,1/2/2018,UG/M3,6.1
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,1/3/2018,UG/M3,7.4
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,1/4/2018,UG/M3,8
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,1/5/2018,UG/M3,5.6
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,1/6/2018,UG/M3,6.3
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,1/7/2018,UG/M3,4.5
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,1/8/2018,UG/M3,5.8
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,1/9/2018,UG/M3,7.3
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,1/10/2018,UG/M3,6.2
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,1/11/2018,UG/M3,4
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,1/12/2018,UG/M3,3.4
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,1/13/2018,UG/M3,3
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,1/14/2018,UG/M3,5.4
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,1/15/2018,UG/M3,7
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,1/16/2018,UG/M3,5.4
