"Agency","Site","Site AQS","Param","Param AQS","POC","Method","Duration","Date (LST)","Unit","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","Average","Max"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","07/01/2018","UG/M3","1.7","","","","","","","","","","","","","","","","","","","","","","","","1.7","1.7"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","07/02/2018","UG/M3","2.7","","","","","","","","","","","","","","","","","","","","","","","","2.7","2.7"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","07/03/2018","UG/M3","4.5","","","","","","","","","","","","","","","","","","","","","","","","4.5","4.5"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","07/04/2018","UG/M3","13.9","","","","","","","","","","","","","","","","","","","","","","","","13.9","13.9"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","07/05/2018","UG/M3","6.7","","","","","","","","","","","","","","","","","","","","","","","","6.7","6.7"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","07/06/2018","UG/M3","2.7","","","","","","","","","","","","","","","","","","","","","","","","2.7","2.7"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","07/07/2018","UG/M3","1.9","","","","","","","","","","","","","","","","","","","","","","","","1.9","1.9"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","07/08/2018","UG/M3","2.8","","","","","","","","","","","","","","","","","","","","","","","","2.8","2.8"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","07/09/2018","UG/M3","3.0","","","","","","","","","","","","","","","","","","","","","","","","3.0","3.0"
"WA1","Aberdeen-Division St","530272002","PM2.5-88502","88502","4","","24 Hrs","07/10/2018","UG/M3","2.1","","","","","","","","","","","","","","","","","","","","","","","","2.1","2.1"
