Site/Site AQS/Param/POC,Date.LST,ugPerMeter3
Billlings Lockw/301110087/PM2.5-88101/3,1/1/2018,23.5
Billlings Lockw/301110087/PM2.5-88101/3,1/2/2018,6.4
Billlings Lockw/301110087/PM2.5-88101/3,1/3/2018,5.5
Billlings Lockw/301110087/PM2.5-88101/3,1/4/2018,5.3
Billlings Lockw/301110087/PM2.5-88101/3,1/5/2018,5
Billlings Lockw/301110087/PM2.5-88101/3,1/6/2018,4.6
Billlings Lockw/301110087/PM2.5-88101/3,1/7/2018,8.2
Billlings Lockw/301110087/PM2.5-88101/3,1/8/2018,7.5
Billlings Lockw/301110087/PM2.5-88101/3,1/9/2018,11.1
Billlings Lockw/301110087/PM2.5-88101/3,1/10/2018,6.2
Billlings Lockw/301110087/PM2.5-88101/3,1/11/2018,8
Billlings Lockw/301110087/PM2.5-88101/3,1/12/2018,5.9
Billlings Lockw/301110087/PM2.5-88101/3,1/13/2018,10.8
Billlings Lockw/301110087/PM2.5-88101/3,1/14/2018,6.8
Billlings Lockw/301110087/PM2.5-88101/3,1/15/2018,13.7
Billlings Lockw/301110087/PM2.5-88101/3,1/16/2018,17.7
Billlings Lockw/301110087/PM2.5-88101/3,1/17/2018,5.7
Billlings Lockw/301110087/PM2.5-88101/3,1/18/2018,2.7
Billlings Lockw/301110087/PM2.5-88101/3,1/19/2018,6.8
Billlings Lockw/301110087/PM2.5-88101/3,1/20/2018,6.2
Billlings Lockw/301110087/PM2.5-88101/3,1/21/2018,6.1
Billlings Lockw/301110087/PM2.5-88101/3,1/22/2018,7
Billlings Lockw/301110087/PM2.5-88101/3,1/23/2018,5
Billlings Lockw/301110087/PM2.5-88101/3,1/24/2018,3.9
Billlings Lockw/301110087/PM2.5-88101/3,1/25/2018,5.1
Billlings Lockw/301110087/PM2.5-88101/3,1/26/2018,2.4
Billlings Lockw/301110087/PM2.5-88101/3,1/27/2018,6.3
Billlings Lockw/301110087/PM2.5-88101/3,1/28/2018,9.3
Billlings Lockw/301110087/PM2.5-88101/3,1/29/2018,8.3
Billlings Lockw/301110087/PM2.5-88101/3,1/30/2018,3.3
Billlings Lockw/301110087/PM2.5-88101/3,1/31/2018,3
Billlings Lockw/301110087/PM2.5-88101/3,2/1/2018,13.1
Billlings Lockw/301110087/PM2.5-88101/3,2/2/2018,4.8
Billlings Lockw/301110087/PM2.5-88101/3,2/3/2018,4.2
Billlings Lockw/301110087/PM2.5-88101/3,2/4/2018,8.2
Billlings Lockw/301110087/PM2.5-88101/3,2/5/2018,3.4
Billlings Lockw/301110087/PM2.5-88101/3,2/6/2018,8.2
Billlings Lockw/301110087/PM2.5-88101/3,2/7/2018,11.5
Billlings Lockw/301110087/PM2.5-88101/3,2/8/2018,4.9
Billlings Lockw/301110087/PM2.5-88101/3,2/9/2018,7.4
Billlings Lockw/301110087/PM2.5-88101/3,2/10/2018,13.3
Billlings Lockw/301110087/PM2.5-88101/3,2/11/2018,5.7
Billlings Lockw/301110087/PM2.5-88101/3,2/12/2018,7
Billlings Lockw/301110087/PM2.5-88101/3,2/13/2018,6.3
Billlings Lockw/301110087/PM2.5-88101/3,2/14/2018,7.4
Billlings Lockw/301110087/PM2.5-88101/3,2/15/2018,6
Billlings Lockw/301110087/PM2.5-88101/3,2/16/2018,8
Billlings Lockw/301110087/PM2.5-88101/3,2/17/2018,4.3
Billlings Lockw/301110087/PM2.5-88101/3,2/18/2018,4.8
Billlings Lockw/301110087/PM2.5-88101/3,2/19/2018,5.3
Billlings Lockw/301110087/PM2.5-88101/3,2/20/2018,11.4
Billlings Lockw/301110087/PM2.5-88101/3,2/21/2018,19.8
Billlings Lockw/301110087/PM2.5-88101/3,2/22/2018,27.3
Billlings Lockw/301110087/PM2.5-88101/3,2/23/2018,6.9
Billlings Lockw/301110087/PM2.5-88101/3,2/24/2018,7.9
Billlings Lockw/301110087/PM2.5-88101/3,2/25/2018,4.9
Billlings Lockw/301110087/PM2.5-88101/3,2/26/2018,4.4
Billlings Lockw/301110087/PM2.5-88101/3,2/27/2018,6.7
Billlings Lockw/301110087/PM2.5-88101/3,2/28/2018,6
Billlings Lockw/301110087/PM2.5-88101/3,3/1/2018,16.8
Billlings Lockw/301110087/PM2.5-88101/3,3/2/2018,15.1
Billlings Lockw/301110087/PM2.5-88101/3,3/3/2018,9.8
Billlings Lockw/301110087/PM2.5-88101/3,3/4/2018,4.6
Billlings Lockw/301110087/PM2.5-88101/3,3/5/2018,3.6
Billlings Lockw/301110087/PM2.5-88101/3,3/6/2018,12.8
