date,time,temp_celsius,spcond_msPERcm,ph,do_mgPerL,do_Percent,turbidity_fnu,chlorophyll_rfu,phycocyanin_rfu,sysbattery_volts
6/5/2017,15:30:00,17.57,1.06,7.42,8.79,92.29,6.25,5.63,0.86,12.81
6/5/2017,15:45:00,17.54,1.06,7.43,8.79,92.2,6.34,6.56,0.88,12.6
6/5/2017,16:00:00,17.52,1.06,7.43,8.75,91.75,6.36,5.18,0.82,12.68
6/5/2017,16:15:00,17.51,1.06,7.44,8.75,91.78,6.74,6.76,0.85,12.59
6/5/2017,16:30:00,17.48,1.06,7.45,8.79,92.1,6.45,6.58,0.91,12.57
6/5/2017,16:45:00,17.45,1.06,7.46,8.84,92.66,6.2,6.22,0.87,12.52
6/5/2017,17:00:00,17.42,1.06,7.46,8.9,93.14,6.22,6.31,0.84,12.55
6/5/2017,17:15:00,17.37,1.06,7.46,8.91,93.17,6.25,6.25,0.81,12.57
6/5/2017,17:30:00,17.32,1.06,7.45,8.86,92.6,6.09,5.88,0.83,12.54
6/5/2017,17:45:00,17.31,1.06,7.44,8.82,92.09,6.21,5.76,0.81,12.54
6/5/2017,18:00:00,17.3,1.06,7.45,8.8,91.91,6.08,5.84,0.86,12.53
6/5/2017,18:15:00,17.28,1.06,7.46,8.82,92.05,6.37,6,0.85,12.55
6/5/2017,18:30:00,17.27,1.06,7.46,8.82,92.03,6.53,5.82,0.86,12.61
6/5/2017,18:45:00,17.23,1.06,7.46,8.8,91.8,6.09,6.26,0.84,12.59
6/5/2017,19:00:00,17.22,1.06,7.47,8.81,91.89,6.49,6.2,0.84,12.51
6/5/2017,19:15:00,17.2,1.06,7.48,8.79,91.64,6.55,5.95,0.86,12.51
6/5/2017,19:30:00,17.19,1.06,7.48,8.76,91.27,6.6,7.95,0.87,12.51
6/5/2017,19:45:00,17.18,1.06,7.48,8.74,91.09,6.58,6.17,0.89,12.55
6/5/2017,20:00:00,17.15,1.06,7.49,8.74,91.05,6.92,6.76,0.87,12.54
6/5/2017,20:15:00,17.12,1.06,7.5,8.74,90.95,6.86,6.4,0.96,12.51
6/5/2017,20:30:00,17.12,1.06,7.49,8.69,90.38,6.65,6.46,0.96,12.52
6/5/2017,20:45:00,17.06,1.06,7.48,8.66,90,6.73,6.55,0.92,12.57
6/5/2017,21:00:00,17.04,1.06,7.48,8.59,89.23,6.83,6.83,0.95,12.59
6/5/2017,21:15:00,17.02,1.06,7.46,8.57,89,6.61,5.77,0.92,12.58
6/5/2017,21:30:00,17.01,1.06,7.48,8.61,89.41,7.05,6.57,0.96,12.54
6/5/2017,21:45:00,16.98,1.06,7.47,8.57,88.88,7.64,6.3,0.94,12.61
6/5/2017,22:00:00,16.95,1.06,7.46,8.51,88.26,7.49,6.23,0.96,12.48
6/5/2017,22:15:00,16.91,1.06,7.43,8.39,86.96,7.32,6.1,0.85,12.59
6/5/2017,22:30:00,16.86,1.07,7.39,8.24,85.27,6.55,5.39,0.82,12.57
6/5/2017,22:45:00,16.84,1.07,7.39,8.28,85.67,6.52,4.95,0.79,12.5
6/5/2017,23:00:00,16.8,1.07,7.38,8.23,85.04,6.26,5.46,0.75,12.52
6/5/2017,23:15:00,16.78,1.07,7.4,8.28,85.58,7.13,5.4,0.82,12.57
6/5/2017,23:30:00,16.75,1.06,7.41,8.28,85.53,6.74,5.36,0.84,12.54
6/5/2017,23:45:00,16.72,1.07,7.39,8.21,84.7,6.08,5.36,0.82,12.5
6/6/2017,0:00:00,16.7,1.07,7.4,8.26,85.22,6.42,5.2,0.83,12.48
6/6/2017,0:15:00,16.68,1.06,7.42,8.3,85.54,6.99,5.96,0.84,12.49
6/6/2017,0:30:00,16.68,1.06,7.43,8.32,85.76,7.86,5.76,0.95,12.5
6/6/2017,0:45:00,16.63,1.06,7.44,8.36,86.14,7.97,5.9,0.89,12.5
6/6/2017,1:00:00,16.62,1.06,7.44,8.33,85.73,8.37,5.94,0.89,12.48
6/6/2017,1:15:00,16.58,1.06,7.44,8.34,85.78,7.73,5.67,0.86,12.45
6/6/2017,1:30:00,16.56,1.06,7.43,8.29,85.3,7.3,5.47,0.85,12.53
6/6/2017,1:45:00,16.55,1.06,7.41,8.24,84.69,7.56,5.47,0.88,12.47
6/6/2017,2:00:00,16.53,1.06,7.37,8.06,82.79,7.2,4.71,0.78,12.52
6/6/2017,2:15:00,16.49,1.06,7.37,8.04,82.57,6.96,4.68,0.76,12.52
6/6/2017,2:30:00,16.46,1.06,7.36,8.02,82.33,7.01,4.57,0.72,12.51
6/6/2017,2:45:00,16.44,1.06,7.35,7.96,81.63,6.33,4.5,0.72,12.46
6/6/2017,3:00:00,16.42,1.06,7.35,7.96,81.6,6.73,4.52,0.74,12.46
6/6/2017,3:15:00,16.41,1.06,7.35,7.93,81.33,7.15,4.51,0.74,12.5
6/6/2017,3:30:00,16.38,1.06,7.34,7.92,81.17,7.46,4.41,0.7,12.49
6/6/2017,3:45:00,16.34,1.06,7.34,7.89,80.79,6.63,4.62,0.74,12.47
6/6/2017,4:00:00,16.3,1.06,7.35,7.95,81.34,7.32,4.19,0.7,12.5
6/6/2017,4:15:00,16.26,1.06,7.39,8.09,82.71,7.74,4.87,0.75,12.46
6/6/2017,4:30:00,16.21,1.06,7.39,8.1,82.66,7.68,4.93,0.79,12.46
6/6/2017,4:45:00,16.17,1.06,7.42,8.16,83.21,7.7,5.06,0.83,12.55
6/6/2017,5:00:00,16.14,1.06,7.42,8.16,83.12,7.41,5.31,0.82,12.46
6/6/2017,5:15:00,16.11,1.06,7.42,8.14,82.95,7.28,5.25,0.83,12.51
6/6/2017,5:30:00,16.07,1.06,7.42,8.15,82.94,7.53,5.17,0.74,12.5
6/6/2017,5:45:00,16.04,1.06,7.41,8.12,82.65,7.4,4.83,0.8,12.55
6/6/2017,6:00:00,16.02,1.06,7.42,8.13,82.63,7.64,4.98,0.8,12.52
6/6/2017,6:15:00,16,1.06,7.41,8.1,82.28,7.77,4.94,0.75,12.57
6/6/2017,6:30:00,15.97,1.06,7.41,8.11,82.4,6.87,5.06,0.72,12.57
6/6/2017,6:45:00,15.93,1.06,7.41,8.12,82.44,7,4.58,0.73,12.53
6/6/2017,7:00:00,15.92,1.06,7.41,8.1,82.17,7.02,5.07,0.75,12.47
6/6/2017,7:15:00,15.89,1.06,7.41,8.11,82.23,6.84,4.52,0.75,12.55
6/6/2017,7:30:00,15.86,1.06,7.41,8.12,82.24,6.07,4.4,0.72,12.57
6/6/2017,7:45:00,15.86,1.06,7.41,8.12,82.24,6.42,4.51,0.71,12.52
6/6/2017,8:00:00,15.83,1.06,7.42,8.15,82.51,6.65,4.38,0.72,12.54
6/6/2017,8:15:00,15.82,1.06,7.41,8.14,82.46,6.79,4.3,0.71,12.5
6/6/2017,8:30:00,15.79,1.06,7.42,8.18,82.81,7.05,4.07,0.65,12.57
6/6/2017,8:45:00,15.78,1.06,7.42,8.17,82.69,6.95,4.63,0.74,12.55
6/6/2017,9:00:00,15.75,1.06,7.43,8.23,83.24,6.65,4.68,0.74,12.5
6/6/2017,9:15:00,15.73,1.06,7.43,8.27,83.53,6.9,4.49,0.75,12.57
6/6/2017,9:30:00,15.72,1.06,7.43,8.28,83.7,6.53,4.31,0.71,12.67
6/6/2017,9:45:00,15.68,1.06,7.44,8.32,83.98,6.76,4.51,0.75,12.6
6/6/2017,10:00:00,15.67,1.06,7.44,8.29,83.62,6.85,4.53,0.72,12.58
6/6/2017,10:15:00,15.66,1.05,7.42,8.22,82.94,6.61,4.37,0.72,12.57
6/6/2017,10:30:00,15.65,1.05,7.41,8.16,82.3,6.26,4.08,0.63,12.52
6/6/2017,10:45:00,15.64,1.05,7.4,8.14,82.12,5.97,3.97,0.65,12.68
6/6/2017,11:00:00,15.62,1.05,7.4,8.16,82.26,6.06,4.21,0.66,12.58
6/6/2017,11:15:00,15.6,1.05,7.4,8.17,82.29,5.99,4.12,0.69,12.57
6/6/2017,11:30:00,15.6,1.05,7.4,8.16,82.25,6.13,3.81,0.66,12.7
6/6/2017,11:45:00,15.59,1.04,7.4,8.17,82.34,6.76,3.99,0.65,12.62
6/6/2017,12:00:00,15.57,1.04,7.4,8.18,82.38,5.81,4.06,0.66,12.58
